Index,Year,Authors,Name,Bibtex,DOI,AR OST HWD,AR VST HWD,Handheld AR (Smartphone),Handheld AR (Tablet),Spatial AR (projector based),Stereoscopic Projection,CAVE,VR HWD,Smartwatch,Smartphone,Tablet,Laptop,Desktop,Projection,Large Display,Tabletop,Symmetric,Asymmetric,Remote Control,Dynamic Lens,Augmented Display,VESAD,Logical Distribution,Migratory Interface,Parallel,Serial,Exclusive,Single User,Multi-user - Shared Component,Multi-user - Indvidual Component,Near,Personal,Social,Public,Flexible,Semi-Fixed,Fixed,Unidirectional (MR-centric),Bidirectional,Unidirectional (2D-centric),Co-Located,Remote,Component-coupled,Dynamic,Free,Development/Authoring,Gaming,DataVis/Data Analysis,SciVis,Medical,Productivity,Collaboration,Entertainment,3D Object Manipulation,3D Design/Sketching,Text Entry / Annotations,Study,Other / None,Term: Hybrid UI,Term: Hybrid <other>,Term: Cross-Device,Term: Cross-Reality,Term: Multi-Device,Term: Augmented Display,Term: Transitional,Undefined,Other Terms,Empirical,Artifact,Method,Theory,Dataset,Survey,Opinion,Empirical (-),Artifact (-),Method (-),Theory (-),Dataset (-),Survey (-),Opinion (-),Informative,Demonstration,Technical Evaluation,Usage,Heuristic,No Evaluation,Edge Case
591,2025,"Sunyoung Bang, Hyunjin Lee, Seo Young Oh, Woontack Woo",AReading with Smartphones: Understanding the Trade-offs between Enhanced Legibility and Display Switching Costs in Hybrid AR Interfaces,"@inproceedings{10.1145/3706598.3713879,
   author = {Bang, Sunyoung and Lee, Hyunjin and Oh, Seo Young and Woo, Woontack},
   title = {AReading with Smartphones: Understanding the Trade-offs between Enhanced Legibility and Display Switching Costs in Hybrid AR Interfaces},
   year = {2025},
   isbn = {9798400713941},
   publisher = {Association for Computing Machinery},
   address = {New York, NY, USA},
   url = {https://doi.org/10.1145/3706598.3713879},
   doi = {10.1145/3706598.3713879},
   abstract = {This research investigates the use of hybrid user interfaces to enhance text readability in augmented reality (AR) by combining optical see-through head-mounted displays with smartphones. While this integration can improve information legibility, it may also introduce display switching side effects. The extent to which these side effects hinder user experience and when the benefits outweigh drawbacks remain unclear. To address this gap, we conducted an empirical study (N=24) to evaluate how hybrid user interfaces affect AR reading tasks across different content distances, which induce varying levels of display switching. Our findings show that hybrid user interfaces offer significant readability benefits compared to using the HMD only, reducing mental and physical demands when reading text linked to content at closer distances. However, as the distance between displays increases, the compensatory behaviors users adopt to manage increased switching costs negate these benefits, making hybrid user interfaces less effective. Based on these findings, we suggest (1) using smartphones as supplementary displays for text in reading-intensive tasks, (2) implementing adaptive display positioning to minimize switching overhead in such scenarios, and (3) adjusting the smartphone’s role based on content distance for less intensive reading tasks. These insights provide guidance for optimizing smartphone integration in hybrid interfaces and enhancing AR systems for reading applications.},
   booktitle = {Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems},
   articleno = {1231},
   numpages = {20},
   keywords = {hybrid user interfaces, OST HMD, readability, attention switching, augmented reality},
   location = {},
   series = {CHI '25}
}",10.1145/3706598.3713879,x,,,,,,,,,x,,,,,,,,,,x,,,,,x,,,x,,,,x,,,,,x,,x,,x,,,,x,,,,,,,,,,,,x,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,x
592,2025,"Tobias Rau, Tobias Isenberg, Andreas Koehn, Michael Sedlmair, Benjamin Lee",Traversing Dual Realities: Investigating Techniques for Transitioning 3D Objects between Desktop and Augmented Reality Environments,"@inproceedings{10.1145/3706598.3713949,
   author = {Rau, Tobias and Isenberg, Tobias and Koehn, Andreas and Sedlmair, Michael and Lee, Benjamin},
   title = {Traversing Dual Realities: Investigating Techniques for Transitioning 3D Objects between Desktop and Augmented Reality Environments},
   year = {2025},
   isbn = {9798400713941},
   publisher = {Association for Computing Machinery},
   address = {New York, NY, USA},
   url = {https://doi.org/10.1145/3706598.3713949},
   doi = {10.1145/3706598.3713949},
   abstract = {Desktop environments can integrate augmented reality (AR) head-worn devices to support 3D representations, visualizations, and interactions in a novel yet familiar setting. As users navigate across the dual realities—desktop and AR—a way to move 3D objects between them is needed. We devise three baseline transition techniques based on common approaches in the literature and evaluate their usability and practicality in an initial user study (N=18). After refining both our transition techniques and the surrounding technical setup, we validate the applicability of the overall concept for real-world activities in an expert user study (N=6). In it, computational chemists followed their usual desktop workflows to build, manipulate, and analyze 3D molecular structures, but now aided with the addition of AR and our transition techniques. Based on our findings from both user studies, we provide lessons learned and takeaways for the design of 3D object transition techniques in desktop + AR environments.},
   booktitle = {Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems},
   articleno = {1236},
   numpages = {16},
   keywords = {Augmented reality, Cross-reality, Hybrid user interfaces, Usability study, Expert study, Computational Chemistry, Gestural input},
   location = {},
   series = {CHI '25}
}",10.1145/3706598.3713949,,x,,,,,,,,,,,x,,,,,,,,,,,x,x,,,x,,,,x,,,,,x,,x,,x,,,x,,,,,,,,,,x,,,x,,-,,,x,,,,,,x,,,,,,,,,,,,,,,,,x,,,
595,2025,"Leping Qiu, Erin Seongyoon Kim, Sangho Suh, Ludwig Sidenmark, Tovi Grossman",MaRginalia: Enabling In-person Lecture Capturing and Note-taking Through Mixed Reality,"@inproceedings{10.1145/3706598.3714065,
   author = {Qiu, Leping and Kim, Erin Seongyoon and Suh, Sangho and Sidenmark, Ludwig and Grossman, Tovi},
   title = {MaRginalia: Enabling In-person Lecture Capturing and Note-taking Through Mixed Reality},
   year = {2025},
   isbn = {9798400713941},
   publisher = {Association for Computing Machinery},
   address = {New York, NY, USA},
   url = {https://doi.org/10.1145/3706598.3714065},
   doi = {10.1145/3706598.3714065},
   abstract = {Students often take digital notes during live lectures, but current methods can be slow when capturing information from lecture slides or the instructor’s speech, and require them to focus on their devices, leading to distractions and missing important details. This paper explores supporting live lecture note-taking with mixed reality (MR) to quickly capture lecture information and take notes while staying engaged with the lecture. A survey and interviews with university students revealed common note-taking behaviors and challenges to inform the design. We present MaRginalia to provide digital note-taking with a stylus tablet and MR headset. Students can take notes with an MR representation of the tablet, lecture slides, and audio transcript without looking down at their device. When preferred, students can also perform detailed interactions by looking at the physical tablet. We demonstrate the feasibility and usefulness of MaRginalia and MR-based note-taking in a user study with 12 students.},
   booktitle = {Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems},
   articleno = {141},
   numpages = {15},
   keywords = {Note-taking, Cross-device Interaction, Mixed-reality system, Pen-based Input},
   location = {},
   series = {CHI '25}
}",10.1145/3706598.3714065,x,,,,,,,,,,x,,,,,,x,,x,,,,x,x,x,x,,x,,,,x,,,,x,,,x,,x,,,,x,,,,,,x,,,,,x,,,,,x,,,,,-,,,x,,,,,,-,,,,,,,,,,x,,,
605,2025,"Keming Chen, Qihao Yang, Qingshu Yuan, Jin Xu, Zhengwei Yao, Zhigeng Pan",CoPadSAR: A Spatial Augmented Reality Interaction Approach for Collaborative Design via Pad-Based Cross-Device Interaction,"@article{10.1002/cav.70065,
   author = {Chen, Keming and Yang, Qihao and Yuan, Qingshu and Xu, Jin and Yao, Zhengwei and Pan, Zhigeng},
   title = {CoPadSAR: A Spatial Augmented Reality Interaction Approach for Collaborative Design via Pad-Based Cross-Device Interaction},
   journal = {Computer Animation and Virtual Worlds},
   volume = {36},
   number = {4},
   pages = {e70065},
   keywords = {collaboration, computer-supported collaborative design, cross-device interaction, spatial augmented reality},
   doi = {https://doi.org/10.1002/cav.70065},
   url = {https://onlinelibrary.wiley.com/doi/abs/10.1002/cav.70065},
   eprint = {https://onlinelibrary.wiley.com/doi/pdf/10.1002/cav.70065},
   abstract = {Augmented reality (AR) is a technology that superimposes digital information onto the real world. As one of the three major forms of AR, spatial augmented reality (SAR) projects virtual content into public spaces, making it accessible to collaborators. Due to its shared large display area, SAR has significant potential for application in collaborative design. However, existing SAR interaction methods may suffer from inefficiencies and poor collaborative experiences. To address this issue, CoPadSAR, a Pad-based cross-device interaction method, is proposed. It can map 2D operations from each Pad onto 3D objects within the SAR environment, allowing users to collaborate using multiple Pads. Moreover, a prototype is presented that supports collaborative painting, annotation, and object creation. Furthermore, a comparative study involving 40 participants (20 pairs) is conducted. The results indicate CoPadSAR reveals better group performance than controller-based, gesture, and tangible interactions. It has greater usability and provides a better collaborative experience. The interviews further confirm the user preference for it. This study contributes to expanding the application of SAR in collaborative design.},
   year = {2025}
}",10.1002/cav.70065,,,,x,x,,,,,,,,,,,,x,,,,,,x,,x,,,,x,,,,x,,,x,,,,x,x,,,,x,,,,,,,,,,x,,,,,,x,,,,,,,,x,,,,,,-,,,,,,,,,,x,,,
618,2025,"Robbe Cools, Inne Maerevoet, Matt Gottsacker, Adalberto L. Simeone",Comparison of Cross-Reality Transition Techniques Between 3D and 2D Display Spaces in Desktop-AR Systems,"@ARTICLE{10919011,
  author={Cools, Robbe and Maerevoet, Inne and Gottsacker, Matt and Simeone, Adalberto L.},
  journal={IEEE Transactions on Visualization and Computer Graphics}, 
  title={Comparison of Cross-Reality Transition Techniques Between 3D and 2D Display Spaces in Desktop-AR Systems}, 
  year={2025},
  volume={31},
  number={5},
  pages={2798-2805},
  keywords={Three-dimensional displays;Two-dimensional displays;Switches;Resists;Hands;Aerospace electronics;Monitoring;Electronic mail;Input devices;Color;Cross-Reality;Hybrid User Interface;Desktop-AR;Transition},
  doi={10.1109/TVCG.2025.3549907}
}",10.1109/TVCG.2025.3549907,,x,,,,,,,,,,,x,,,,,,,,,,,x,,x,,x,,,,x,,,,,x,,x,,x,,,x,,,,,,,,,,,,,x,,x,,,x,,,,,,x,,,,,,,,,,,,,,,,,x,,,
619,2025,"Lixiang Zhao, Tobias Isenberg, Fuqi Xie, Hai-Ning Liang, Lingyun Yu",SpatialTouch: Exploring Spatial Data Visualizations in Cross-Reality,"@article{10.1109/TVCG.2024.3456368,
   author = {Zhao, Lixiang and Isenberg, Tobias and Xie, Fuqi and Liang, Hai-Ning and Yu, Lingyun},
   title = {SpatialTouch: Exploring Spatial Data Visualizations in Cross-Reality},
   year = {2025},
   issue_date = {Jan. 2025},
   publisher = {IEEE Educational Activities Department},
   address = {USA},
   volume = {31},
   number = {1},
   issn = {1077-2626},
   url = {https://doi.org/10.1109/TVCG.2024.3456368},
   doi = {10.1109/TVCG.2024.3456368},
   abstract = {We propose and study a novel cross-reality environment that seamlessly integrates a monoscopic 2D surface (an interactive screen with touch and pen input) with a stereoscopic 3D space (an augmented reality HMD) to jointly host spatial data visualizations. This innovative approach combines the best of two conventional methods of displaying and manipulating spatial 3D data, enabling users to fluidly explore diverse visual forms using tailored interaction techniques. Providing such effective 3D data exploration techniques is pivotal for conveying its intricate spatial structures—often at multiple spatial or semantic scales—across various application domains and requiring diverse visual representations for effective visualization. To understand user reactions to our new environment, we began with an elicitation user study, in which we captured their responses and interactions. We observed that users adapted their interaction approaches based on perceived visual representations, with natural transitions in spatial awareness and actions while navigating across the physical surface. Our findings then informed the development of a design space for spatial data exploration in cross-reality. We thus developed cross-reality environments tailored to three distinct domains: for 3D molecular structure data, for 3D point cloud data, and for 3D anatomical data. In particular, we designed interaction techniques that account for the inherent features of interactions in both spaces, facilitating various forms of interaction, including mid-air gestures, touch interactions, pen interactions, and combinations thereof, to enhance the users' sense of presence and engagement. We assessed the usability of our environment with biologists, focusing on its use for domain research. In addition, we evaluated our interaction transition designs with virtual and mixed-reality experts to gather further insights. As a result, we provide our design suggestions for the cross-reality environment, emphasizing the interaction with diverse visual representations and seamless interaction transitions between 2D and 3D spaces.},
   journal = {IEEE Transactions on Visualization and Computer Graphics},
   month = jan,
   pages = {897–907},
   numpages = {11}
}",10.1109/TVCG.2024.3456368,x,,,,,,,,,,,,,,,x,,x,,,x,,,x,x,,,x,,,,x,,,x,,,,x,,x,,,x,,,,,x,,,,,,,,,,,x,,x,,,,,,,x,,,,,,-,,,,,,,x,,,x,,,
623,2025,"Wai Tong, Haobo Li, Meng Xia, Wong Kam-Kwai, Ting-Chuen Pong, Huamin Qu",Exploring Spatial Hybrid User Interface for Visual Sensemaking,"@ARTICLE{10870571,
  author={Tong, Wai and Li, Haobo and Xia, Meng and Kam-Kwai, Wong and Pong, Ting-Chuen and Qu, Huamin and Yang, Yalong},
  journal={IEEE Transactions on Visualization and Computer Graphics}, 
  title={Exploring Spatial Hybrid User Interface for Visual Sensemaking}, 
  year={2025},
  volume={31},
  number={10},
  pages={7062-7077},
  keywords={Data visualization;Visualization;Three-dimensional displays;Switches;Navigation;Keyboards;Hands;User experience;Rendering (computer graphics);Visual analytics;Hybrid user interface;data visualization;node-link diagram;visual sensemaking;document analysis},
  doi={10.1109/TVCG.2025.3538771}
}",10.1109/TVCG.2025.3538771,,,,,,,,x,,,,,x,,,,,x,,,,,,x,,x,,x,,,,x,-,,x,,,,x,,x,,,,x,,,x,,,,,,,,,-,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,x
627,2025,"Brody Wells, Nanjia Wang, Samuel Wiebe, Colin B Josephson, Farnaz Sinaei, Frank Maurer",NeuroCR: Integrating Mixed Reality with Desktop Medical Imaging Software for Pre-surgical Evaluations of Epilepsy Patients,"@INPROCEEDINGS{10972704,
  author={Wells, Brody and Wang, Nanjia and Wiebe, Samuel and Josephson, Colin B and Sinaei, Farnaz and Maurer, Frank},
  booktitle={2025 IEEE Conference on Virtual Reality and 3D User Interfaces Abstracts and Workshops (VRW)}, 
  title={NeuroCR: Integrating Mixed Reality with Desktop Medical Imaging Software for Pre-surgical Evaluations of Epilepsy Patients}, 
  year={2025},
  volume={},
  number={},
  pages={1236-1237},
  keywords={Hands;Three-dimensional displays;Extended reality;Prototypes;Data visualization;Mixed reality;Epilepsy;Software;Usability;Biomedical imaging;Serious eXtended Reality;Mixed Reality;Cross Reality;Visualization;Visualization Techniques},
  doi={10.1109/VRW66409.2025.00264}
}",10.1109/VRW66409.2025.00264,,x,,,,,,,,,,,x,,,,,x,,,,,,,x,,,x,,,,x,,,,x,,,x,,x,,,,x,,,,,x,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,x,,,,,x
629,2025,"Shintaro Imatani, Kensuke Tobitani, Kyo Akabane",TouchWIM: Object Manipulation in AR Spatial Design With World in Miniature and Hybrid User Interface,"@ARTICLE{10969634,
  author={Imatani, Shintaro and Tobitani, Kensuke and Akabane, Kyo},
  journal={IEEE Access}, 
  title={TouchWIM: Object Manipulation in AR Spatial Design With World in Miniature and Hybrid User Interface}, 
  year={2025},
  volume={13},
  number={},
  pages={69269-69280},
  keywords={User interfaces;Three-dimensional displays;Smart phones;Virtual environments;Resists;Hands;Layout;Input devices;Solid modeling;Data visualization;Augmented reality;mixed reality;human-computer interaction;user interface},
  doi={10.1109/ACCESS.2025.3562253}
}",10.1109/ACCESS.2025.3562253,,x,,,,,,,,,x,,,,,,,,,,,,x,,x,,,x,,,,x,,,,x,,,,x,x,,,,x,,,,,,,,,x,,,x,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,x,,,
630,2025,"Jan Krieglstein, Jan Kolberg, Aimée Sousa Calepso, Werner Kraus, Michael Sedlmair","A Hybrid User Interface Combining AR, Desktop, and Mobile Interfaces for Enhanced Industrial Robot Programming","@INPROCEEDINGS{11128291,
  author={Krieglstein, Jan and Kolberg, Jan and Calepso, Aimée Sousa and Kraus, Werner and Sedlmair, Michael},
  booktitle={2025 IEEE International Conference on Robotics and Automation (ICRA)}, 
  title={A Hybrid User Interface Combining AR, Desktop, and Mobile Interfaces for Enhanced Industrial Robot Programming}, 
  year={2025},
  volume={},
  number={},
  pages={4738-4745},
  keywords={Visualization;Three-dimensional displays;Two-dimensional displays;Resists;User interfaces;Industrial robots;User experience;Trajectory;Usability;Robot programming},
  doi={10.1109/ICRA55743.2025.11128291}
}",10.1109/ICRA55743.2025.11128291,x,,,,,,,,,x,,x,,,,,,,,,,,x,x,,x,x,x,,,,x,,,,,x,,x,,x,,,,x,x,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,-,,,,,,,,,,x,,,
631,2024,"Jonathan Wieland, Hyunsung Cho, Sebastian Hubenschmid, Akihiro Kiuchi, Harald Reiterer, David Lindlbauer",Push2AR: Enhancing Mobile List Interactions Using Augmented Reality,"@INPROCEEDINGS{10765366,
  author={Wieland, Jonathan and Cho, Hyunsung and Hubenschmid, Sebastian and Kiuchi, Akihiro and Reiterer, Harald and Lindlbauer, David},
  booktitle={2024 IEEE International Symposium on Mixed and Augmented Reality (ISMAR)}, 
  title={Push2AR: Enhancing Mobile List Interactions Using Augmented Reality}, 
  year={2024},
  volume={},
  number={},
  pages={671-680},
  keywords={Headphones;Visualization;Navigation;Social networking (online);Prototypes;User interfaces;User experience;Synchronization;Smart phones;Augmented reality;Augmented reality;mobile devices;cross-device interaction},
  doi={10.1109/ISMAR62088.2024.00082}
}",10.1109/ISMAR62088.2024.00082,,x,,,,,,,,x,,,,,,,,x,,,,,,,x,,,x,,,,x,,,,x,,,,x,x,,x,,,,,,,,,,,,,,x,x,,x,,,,,,,,,x,,,,,,-,,,,,,,,,,x,,,
636,2025,"Shuqi Liao, Sparsh Chaudhri, Maanas K. Karwa, Voicu Popescu",SeamlessVR: Bridging the Immersive to Non-Immersive Visualization Divide,"@ARTICLE{10918852,
  author={Liao, Shuqi and Chaudhri, Sparsh and Karwa, Maanas K. and Popescu, Voicu},
  journal={IEEE Transactions on Visualization and Computer Graphics}, 
  title={SeamlessVR: Bridging the Immersive to Non-Immersive Visualization Divide}, 
  year={2025},
  volume={31},
  number={5},
  pages={2806-2816},
  keywords={Visualization;Headphones;Three-dimensional displays;Switches;Data visualization;Virtual environments;Target tracking;Usability;User experience;Training;Transitional interface;cross-reality;VR headset removal},
  doi={10.1109/TVCG.2025.3549564}
}",10.1109/TVCG.2025.3549564,,x,,,,,,,,,,,x,,,,,x,,,,,,x,,,x,x,,,,x,,,x,,,,x,,x,,,,x,,,x,x,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,x,,,
645,2025,"Rasmus Lunding, Sebastian Hubenschmid, Tiare Feuchtner, Kaj Grønbæk ",ARTHUR: authoring human–robot collaboration processes with augmented reality using hybrid user interfaces,"@article{Lunding2025,
  title = {ARTHUR: authoring human–robot collaboration processes with augmented reality using hybrid user interfaces},
  volume = {29},
  ISSN = {1434-9957},
  url = {http://dx.doi.org/10.1007/s10055-025-01149-6},
  DOI = {10.1007/s10055-025-01149-6},
  number = {2},
  journal = {Virtual Reality},
  publisher = {Springer Science and Business Media LLC},
  author = {Lunding,  Rasmus and Hubenschmid,  Sebastian and Feuchtner,  Tiare and Grønbæk,  Kaj},
  year = {2025},
  month = apr 
}",10.1007/s10055-025-01149-6,x,,,,,,,,,,x,,-,,,,,,,,,,x,,x,x,,x,,,,x,,,x,,,,x,,x,,,,x,x,,,,,,,,,,,,x,x,,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,
658,2025,"Muhammad Raza, Vachiraporn Ketsoi, Joseph Malloch, Saman Bashbaghi, Hakimeh Purmehdi, Derek Reilly",PerspectAR: Addressing Perspective Distortion on Very Large Displays with Adaptive Augmented Reality Overlays,"@inproceedings{10.1145/3706598.3713389,
   author = {Raza, Muhammad and Ketsoi, Vachiraporn and Malloch, Joseph and Bashbaghi, Saman and Purmehdi, Hakimeh and Reilly, Derek},
   title = {PerspectAR: Addressing Perspective Distortion on Very Large Displays with Adaptive Augmented Reality Overlays},
   year = {2025},
   isbn = {9798400713941},
   publisher = {Association for Computing Machinery},
   address = {New York, NY, USA},
   url = {https://doi.org/10.1145/3706598.3713389},
   doi = {10.1145/3706598.3713389},
   abstract = {We present PerspectAR, a novel system addressing perspective distortion on displays caused by large size and wide viewing angles. PerspectAR has three components: a virtual AR screen that curves dynamically according to a user’s position relative to the display, a sliding transparent window giving unobstructed access to the physical display in front of the user, and gaze indicators to assist collaborators when they are looking at different renderings. In a within-subjects study in a semi-controlled public environment with 12 pairs, we compared physical display-only and PerspectAR configurations for data analysis tasks. Participants reported less physical workload with PerspectAR and spent more time near the physical display without compromising task performance. Feedback indicates that PerspectAR addressed perspective distortion and provided a contextual view that was useful as a memory aid. Due to the virtual screen curvature, PerspectAR was seen as less effective for tasks involving distance estimates between objects.},
   booktitle = {Proceedings of the 2025 CHI Conference on Human Factors in Computing Systems},
   articleno = {34},
   numpages = {21},
   keywords = {large display, augmented reality, perspective compensation, perspective distortion, co-located collaboration},
   location = {},
   series = {CHI '25}
}",10.1145/3706598.3713389,x,,,,,,,,,,,,,,x,,,,,,x,,,,x,,,,x,,,,x,,,x,,,,x,x,,x,,,,,x,,,,,,,,,,,,x,,,,,,,,,x,,,,,,-,,,,,,,,,,x,,,
671,2025,"Sebastian Hubenschmid, Johannes Zagermann, Robin Erb, Tiare Feuchtner, Jens Grubert, Markus Tatzgern, Dieter Schmalstieg, Harald Reiterer",SpatialMouse: A Hybrid Pointing Device for Seamless Interaction Across 2D and 3D Spaces,"@inproceedings{10.1145/3756884.3766047,
   author = {Hubenschmid, Sebastian and Zagermann, Johannes and Erb, Robin and Feuchtner, Tiare and Grubert, Jens and Tatzgern, Markus and Schmalstieg, Dieter and Reiterer, Harald},
   title = {SpatialMouse: A Hybrid Pointing Device for Seamless Interaction Across 2D and 3D Spaces},
   year = {2025},
   isbn = {9798400721182},
   publisher = {Association for Computing Machinery},
   address = {New York, NY, USA},
   url = {https://doi.org/10.1145/3756884.3766047},
   doi = {10.1145/3756884.3766047},
   abstract = {We introduce the SpatialMouse, a hybrid pointing device that combines the capabilities of a desktop mouse with the spatial input of a virtual reality (VR) controller, enabling seamless transitions between 2D and 3D interaction spaces in immersive mixed reality environments. Holistic usage scenarios in mixed reality involve tasks suited alternately to 2D or 3D information spaces. Yet, existing input devices excel in either 2D or 3D, but not both, making it necessary to switch between multiple input devices (e.g., mouse and VR controller). Our SpatialMouse addresses this issue, offering the affordances of a desktop mouse for indirect 2D pointing and the spatial capabilities of VR controllers with six degrees of freedom. In a user study with 12&nbsp;participants, our prototype significantly reduced perceived task load and improved user experience compared to switching between separate devices. We extract design recommendations to further support such hybrid input approaches.},
   booktitle = {Proceedings of the 2025 31st ACM Symposium on Virtual Reality Software and Technology},
   articleno = {1},
   numpages = {13},
   keywords = {mixed reality, cross reality, hybrid interaction, transitional interfaces, input device},
   location = {},
   series = {VRST '25}
}",10.1145/3756884.3766047,,,,,,,,x,,,,,x,,,,,,,,,,,x,x,,-,x,,,,x,,,x,,,x,x,,x,,,x,,,,x,,,,,,x,,,,,,x,,,,,,,,,x,,,,,,,,,,,,,,x,,,,,x
746,2016,"Jérémy Lacoche, Thierry Duval, Bruno Arnaldi, Eric Maisel, Jérôme Royan",D3part: A new model for redistribution and plasticity of 3d user interfaces,"@INPROCEEDINGS{7460026,
  author={Lacoche, Jérémy and Duval, Thierry and Arnaldi, Bruno and Maisel, Eric and Royan, Jérôme},
  booktitle={2016 IEEE Symposium on 3D User Interfaces (3DUI)}, 
  title={D3PART: A new model for redistribution and plasticity of 3D user interfaces}, 
  year={2016},
  volume={},
  number={},
  pages={23-26},
  keywords={Three-dimensional displays;Virtual environments;Adaptation models;User interfaces;Context;Solid modeling;Runtime;Plasticity;Redistribution;3D User Interfaces},
  doi={10.1109/3DUI.2016.7460026}
}",10.1109/3DUI.2016.7460026,,,,,,,x,,,,x,,,,,,,x,,,,,x,,x,,,x,,,,,x,,x,,,,x,,x,,,,x,x,,,,,,,,,x,,,,,,,,,,,,x,,x,,,,,,,,,,,,,,,,,,x,
809,2025,"Jiawei Li, Linjie Qiu, Zhiqing Wu, Qiongyan Chen, Ziyan Wang, Mingming Fan",ExplorAR: Assisting Older Adults to Learn Smartphone Apps through AR-powered Trial-and-Error with Interactive Guidance,"@inproceedings{Li_2025, series={MM ’25},
   title={ExplorAR: Assisting Older Adults to Learn Smartphone Apps through AR-powered Trial-and-Error with Interactive Guidance},
   url={http://dx.doi.org/10.1145/3746027.3755578},
   DOI={10.1145/3746027.3755578},
   booktitle={Proceedings of the 33rd ACM International Conference on Multimedia},
   publisher={ACM},
   author={Li, Jiawei and Qiu, Linjie and Wu, Zhiqing and Chen, Qiongyan and Wang, Ziyan and Fan, Mingming},
   year={2025},
   month=oct, pages={7016–7025},
   collection={MM ’25} 
}",10.48550/arXiv.2508.01282,x,,,,,,,,,x,,,,,,,x,,,,,,x,,x,-,,x,,,,x,,,,x,,,,x,x,,,x,,,,,,,,,,,,,,x,,,,,,,,x,,,x,,,,,,-,,,,,,,,,,x,,,
810,2024,"Xiaofu Jin, Wai Tong, Xiaoying Wei, Xian Wang, Emily Kuang, Xiaoyu Mo, Huamin Qu, Mingming Fan",Exploring the opportunity of augmented reality (AR) in supporting older adults to explore and learn smartphone applications,"@inproceedings{10.1145/3613904.3641901,
   author = {Jin, Xiaofu and Tong, Wai and Wei, Xiaoying and Wang, Xian and Kuang, Emily and Mo, Xiaoyu and Qu, Huamin and Fan, Mingming},
   title = {Exploring the Opportunity of Augmented Reality (AR) in Supporting Older Adults to Explore and Learn Smartphone Applications},
   year = {2024},
   isbn = {9798400703300},
   publisher = {Association for Computing Machinery},
   address = {New York, NY, USA},
   url = {https://doi.org/10.1145/3613904.3641901},
   doi = {10.1145/3613904.3641901},
   abstract = {The global aging trend compels older adults to navigate the evolving digital landscape, presenting a substantial challenge in mastering smartphone applications. While Augmented Reality (AR) holds promise for enhancing learning and user experience, its role in aiding older adults’ smartphone app exploration remains insufficiently explored. Therefore, we conducted a two-phase study: (1) a workshop with 18 older adults to identify app exploration challenges and potential AR interventions, and (2) tech-probe participatory design sessions with 15 participants to co-create AR support tools. Our research highlights AR’s effectiveness in reducing physical and cognitive strain among older adults during app exploration, especially during multi-app usage and the trial-and-error learning process. We also examined their interactional experiences with AR, yielding design considerations on tailoring AR tools for smartphone app exploration. Ultimately, our study unveils the prospective landscape of AR in supporting the older demographic, both presently and in future scenarios.},
   booktitle = {Proceedings of the 2024 CHI Conference on Human Factors in Computing Systems},
   articleno = {21},
   numpages = {18},
   keywords = {augmented reality, independent learning, older adults, smartphone exploration},
   location = {Honolulu, HI, USA},
   series = {CHI '24}
}",10.1145/3613904.3641901,x,,,,,,,,,x,,,,,,,x,,,,,x,x,,x,,,x,,,,x,,,,x,,,,x,x,,,x,,,,,,,,,,,,,,x,,,,,,,,x,,x,,,,,,,,-,,,,,,x,,,,,,
